[*,*,H4]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

[*,*,H5]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

[*,*,H6]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

	;

param Q_ab:
            B1          B2          B3          B4          B5          B6          B7          B8          B9          B10         B11         B12         B13         B14          :=
	B1		0           99999       0           0           99999       0           0           0           0           0           0           0           0           0
	B2		99999       0           99999       99999       99999       0           0           0           0           0           0           0           0           0
	B3		0           99999       0           99999       0           0           0           0           0           0           0           0           0           0
	B4		0           99999       99999       0           99999       0           99999       0           99999       0           0           0           0           0
	B5		99999       99999       0           99999       0           99999       0           0           0           0           0           0           0           0
	B6		0           0           0           0           99999       0           0           0           0           0           99999       99999       99999       0
	B7		0           0           0           99999       0           0           0           99999       99999       0           0           0           0           0
	B8		0           0           0           0           0           0           99999       0           0           0           0           0           0           0
	B9		0           0           0           99999       0           0           99999       0           0           99999       0           0           0           99999
	B10		0           0           0           0           0           0           0           0           99999       0           99999       0           0           0
	B11		0           0           0           0           0           99999       0           0           0           99999       0           0           0           0
	B12		0           0           0           0           0           99999       0           0           0           0           0           0           99999       0
	B13		0           0           0           0           0           99999       0           0           0           0           0           99999       0           99999
	B14		0           0           0           0           0           0           0           0           99999       0           0           0           99999       0
	;

param Y_ab:
            B1          B2          B3          B4          B5          B6          B7          B8          B9          B10         B11         B12         B13         B14          :=
	B1		0.0         16.061      0.0         0.0         4.357       0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
	B2		16.061      0.0         4.915       5.387       5.465       0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
	B3		0.0         4.915       0.0         5.444       0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
	B4		0.0         5.387       5.444       0.0         22.637      0.0         4.782       0.0         1.798       0.0         0.0         0.0         0.0         0.0
	B5		4.357       5.465       0.0         22.637      0.0         3.968       0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
	B6		0.0         0.0         0.0         0.0         3.968       0.0         0.0         0.0         0.0         0.0         4.537       3.524       6.844       0.0
	B7		0.0         0.0         0.0         4.782       0.0         0.0         0.0         5.677       9.090       0.0         0.0         0.0         0.0         0.0
	B8		0.0         0.0         0.0         0.0         0.0         0.0         5.677       0.0         0.0         0.0         0.0         0.0         0.0         0.0
	B9		0.0         0.0         0.0         1.798       0.0         0.0         9.090       0.0         0.0         11.076      0.0         0.0         0.0         3.347
	B10		0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         11.076      0.0         4.788       0.0         0.0         0.0
	B11		0.0         0.0         0.0         0.0         0.0         4.537       0.0         0.0         0.0         4.788       0.0         0.0         0.0         0.0
	B12		0.0         0.0         0.0         0.0         0.0         3.524       0.0         0.0         0.0         0.0         0.0         0.0         3.357       0.0
	B13		0.0         0.0         0.0         0.0         0.0         6.844       0.0         0.0         0.0         0.0         0.0         3.357       0.0         2.579
	B14		0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         3.347       0.0         0.0         0.0         2.579       0.0
	;

